AT&T Quarterly Net Income (Millions of US $),AT&T Quarterly Net Income (Millions of US $).1
2024-06-30,"$3,546"
2024-03-31,"$3,395"
2023-12-31,"$2,135"
2023-09-30,"$3,444"
2023-06-30,"$4,437"
2023-03-31,"$4,176"
2022-12-31,"$-23,571"
2022-09-30,"$5,977"
2022-06-30,"$4,105"
2022-03-31,"$4,762"
2021-12-31,"$4,992"
2021-09-30,"$5,868"
2021-06-30,"$1,514"
2021-03-31,"$7,500"
2020-12-31,"$-13,938"
2020-09-30,"$2,762"
2020-06-30,"$1,229"
2020-03-31,"$4,578"
2019-12-31,"$2,391"
2019-09-30,"$3,700"
2019-06-30,"$3,713"
2019-03-31,"$4,096"
2018-12-31,"$4,858"
2018-09-30,"$4,718"
2018-06-30,"$5,132"
2018-03-31,"$4,662"
2017-12-31,"$19,037"
2017-09-30,"$3,029"
2017-06-30,"$3,915"
2017-03-31,"$3,469"
2016-12-31,"$2,437"
2016-09-30,"$3,328"
2016-06-30,"$3,408"
2016-03-31,"$3,803"
2015-12-31,"$4,006"
2015-09-30,"$2,994"
2015-06-30,"$3,082"
2015-03-31,"$3,263"
2014-12-31,"$-3,887"
2014-09-30,"$3,130"
2014-06-30,"$3,547"
2014-03-31,"$3,652"
2013-12-31,"$7,082"
2013-09-30,"$3,814"
2013-06-30,"$3,822"
2013-03-31,"$3,700"
2012-12-31,"$-3,857"
2012-09-30,"$3,635"
2012-06-30,"$3,902"
2012-03-31,"$3,584"
2011-12-31,"$-6,678"
2011-09-30,"$3,623"
2011-06-30,"$3,591"
2011-03-31,"$3,408"
2010-12-31,"$1,089"
2010-09-30,"$12,319"
2010-06-30,"$4,003"
2010-03-31,"$2,453"
2009-12-31,"$2,622"
2009-09-30,"$3,192"
2009-06-30,"$3,198"
2009-03-31,"$3,126"
