Eldorado Gold Quarterly Net Income (Millions of US $),Eldorado Gold Quarterly Net Income (Millions of US $).1
2024-06-30,$55
2024-03-31,$34
2023-12-31,$92
2023-09-30,$-8
2023-06-30,$1
2023-03-31,$19
2022-12-31,$44
2022-09-30,$-55
2022-06-30,$-25
2022-03-31,$-318
2021-12-31,$-40
2021-09-30,$-52
2021-06-30,$-56
2021-03-31,$12
2020-12-31,$33
2020-09-30,$47
2020-06-30,$49
2020-03-31,$-5
2019-12-31,$91
2019-09-30,$4
2019-06-30,$12
2019-03-31,$-27
2018-12-31,$-218
2018-09-30,$-128
2018-06-30,$-24
2018-03-31,$9
2017-12-31,$-21
2017-09-30,$-4
2017-06-30,$11
2017-03-31,$4
2016-12-31,$-33
2016-09-30,$21
2016-06-30,$-330
2016-03-31,$-2
2015-12-31,"$-1,238"
2015-09-30,$-96
2015-06-30,$-199
2015-03-31,$-8
2014-12-31,$14
2014-09-30,$20
2014-06-30,$38
2014-03-31,$31
2013-12-31,$-688
2013-09-30,$36
2013-06-30,$43
2013-03-31,$-45
2012-12-31,$115
2012-09-30,$76
2012-06-30,$47
2012-03-31,$68
2011-12-31,$89
2011-09-30,$102
2011-06-30,$75
2011-03-31,$52
2010-12-31,$44
2010-09-30,$49
2010-06-30,$61
2010-03-31,$53
2009-12-31,$33
2009-09-30,$30
2009-06-30,$26
2009-03-31,$13
