Xenia Hotels & Resorts Quarterly Net Income (Millions of US $),Xenia Hotels & Resorts Quarterly Net Income (Millions of US $).1
2024-06-30,$15
2024-03-31,$9
2023-12-31,$8
2023-09-30,$-9
2023-06-30,$14
2023-03-31,$6
2022-12-31,$35
2022-09-30,$-2
2022-06-30,$28
2022-03-31,$-5
2021-12-31,$-23
2021-09-30,$-22
2021-06-30,$-42
2021-03-31,$-56
2020-12-31,$24
2020-09-30,$-52
2020-06-30,$-99
2020-03-31,$-36
2019-12-31,$16
2019-09-30,$10
2019-06-30,$13
2019-03-31,$17
2018-12-31,$100
2018-09-30,$9
2018-06-30,$29
2018-03-31,$56
2017-12-31,$10
2017-09-30,$12
2017-06-30,$69
2017-03-31,$8
2016-12-31,$49
2016-09-30,$20
2016-06-30,$26
2016-03-31,$-9
2015-12-31,$62
2015-09-30,$18
2015-06-30,$24
2015-03-31,$-15
2014-12-31,$75
2014-09-30,$9
2014-06-30,$23
2014-03-31,$2
2013-12-31,
2012-12-31,
2011-12-31,
