Ingredion Quarterly Net Income (Millions of US $),Ingredion Quarterly Net Income (Millions of US $).1
2024-06-30,$148
2024-03-31,$216
2023-12-31,$131
2023-09-30,$158
2023-06-30,$163
2023-03-31,$191
2022-12-31,$114
2022-09-30,$106
2022-06-30,$142
2022-03-31,$130
2021-12-31,$67
2021-09-30,$118
2021-06-30,$178
2021-03-31,$-246
2020-12-31,$115
2020-09-30,$92
2020-06-30,$66
2020-03-31,$75
2019-12-31,$109
2019-09-30,$99
2019-06-30,$105
2019-03-31,$100
2018-12-31,$94
2018-09-30,$95
2018-06-30,$114
2018-03-31,$140
2017-12-31,$99
2017-09-30,$166
2017-06-30,$130
2017-03-31,$124
2016-12-31,$95
2016-09-30,$143
2016-06-30,$117
2016-03-31,$130
2015-12-31,$103
2015-09-30,$108
2015-06-30,$107
2015-03-31,$84
2014-12-31,$61
2014-09-30,$119
2014-06-30,$103
2014-03-31,$73
2013-12-31,$104
2013-09-30,$86
2013-06-30,$95
2013-03-31,$111
2012-12-31,$112
2012-09-30,$113
2012-06-30,$109
2012-03-31,$94
2011-12-31,$95
2011-09-30,$88
2011-06-30,$79
2011-03-31,$154
2010-12-31,$52
2010-09-30,$37
2010-06-30,$37
2010-03-31,$43
2009-12-31,$56
2009-09-30,$53
2009-06-30,$-85
2009-03-31,$17
