PACCAR Quarterly Net Income (Millions of US $),PACCAR Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,123"
2024-03-31,"$1,195"
2023-12-31,"$1,417"
2023-09-30,"$1,229"
2023-06-30,"$1,221"
2023-03-31,$734
2022-12-31,$921
2022-09-30,$769
2022-06-30,$720
2022-03-31,$601
2021-12-31,$519
2021-09-30,$381
2021-06-30,$496
2021-03-31,$471
2020-12-31,$409
2020-09-30,$386
2020-06-30,$148
2020-03-31,$359
2019-12-31,$531
2019-09-30,$608
2019-06-30,$620
2019-03-31,$629
2018-12-31,$578
2018-09-30,$545
2018-06-30,$560
2018-03-31,$512
2017-12-31,$589
2017-09-30,$403
2017-06-30,$373
2017-03-31,$310
2016-12-31,$289
2016-09-30,$346
2016-06-30,$481
2016-03-31,$-595
2015-12-31,$347
2015-09-30,$431
2015-06-30,$447
2015-03-31,$378
2014-12-31,$394
2014-09-30,$371
2014-06-30,$319
2014-03-31,$274
2013-12-31,$334
2013-09-30,$309
2013-06-30,$292
2013-03-31,$236
2012-12-31,$254
2012-09-30,$234
2012-06-30,$297
2012-03-31,$327
2011-12-31,$328
2011-09-30,$282
2011-06-30,$240
2011-03-31,$193
2010-12-31,$170
2010-09-30,$120
2010-06-30,$100
2010-03-31,$68
2009-12-31,$46
2009-09-30,$13
2009-06-30,$27
2009-03-31,$26
