Core & Main Quarterly Net Income (Millions of US $),Core & Main Quarterly Net Income (Millions of US $).1
2024-07-31,$119
2024-04-30,$95
2024-01-31,$63
2023-10-31,$112
2023-07-31,$110
2023-04-30,$86
2023-01-31,$54
2022-10-31,$111
2022-07-31,$115
2022-04-30,$86
2022-01-31,$48
2021-10-31,$64
2021-07-31,$27
2021-04-30,$27
2021-01-31,
2020-10-31,$22
2020-07-31,$18
2020-01-31,
