Buenaventura Mining Quarterly Net Income (Millions of US $),Buenaventura Mining Quarterly Net Income (Millions of US $).1
2024-06-30,$71
2024-03-31,$61
2023-12-31,$-10
2023-09-30,$-28
2023-06-30,$-7
2023-03-31,$64
2022-12-31,$54
2022-09-30,$-20
2022-06-30,$-36
2022-03-31,$605
2021-12-31,$-226
2021-09-30,$-92
2021-06-30,$38
2021-03-31,$16
2020-12-31,$-67
2020-09-30,$15
2020-06-30,$-16
2020-03-31,$-68
2019-12-31,$-54
2019-09-30,$5
2019-06-30,$10
2019-03-31,$27
2018-12-31,$-73
2018-09-30,$-10
2018-06-30,$41
2018-03-31,$28
2017-12-31,$8
2017-09-30,$-12
2017-06-30,$-6
2017-03-31,$71
2016-12-31,$-406
2016-09-30,$-25
2016-06-30,$55
2016-03-31,$52
2015-12-31,$-293
2015-09-30,$-23
2015-06-30,$-19
2015-03-31,$17
2014-12-31,$-188
2014-09-30,$78
2014-06-30,$23
2014-03-31,$-16
2013-12-31,$-288
2013-09-30,$65
2013-06-30,$19
2013-03-31,$103
2012-12-31,$139
2012-09-30,$186
2012-06-30,$153
2012-03-31,$207
2011-12-31,$231
2011-09-30,$208
2011-06-30,$204
2011-03-31,$218
2010-12-31,$223
2010-09-30,$174
2010-06-30,$111
2010-03-31,$155
2009-12-31,$210
2009-09-30,$148
2009-06-30,$134
2009-03-31,$100
