LXP Industrial Trust Quarterly Net Income (Millions of US $),LXP Industrial Trust Quarterly Net Income (Millions of US $).1
2024-06-30,$4
2024-03-31,$-2
2023-12-31,$13
2023-09-30,$11
2023-06-30,$-10
2023-03-31,$10
2022-12-31,$37
2022-09-30,$22
2022-06-30,$40
2022-03-31,$9
2021-12-31,$260
2021-09-30,$5
2021-06-30,$71
2021-03-31,$39
2020-12-31,$103
2020-09-30,$40
2020-06-30,$17
2020-03-31,$17
2019-12-31,$84
2019-09-30,$142
2019-06-30,$22
2019-03-31,$26
2018-12-31,$24
2018-09-30,$216
2018-06-30,$-3
2018-03-31,$-16
2017-12-31,$29
2017-09-30,$4
2017-06-30,$6
2017-03-31,$40
2016-12-31,$14
2016-09-30,$-27
2016-06-30,$54
2016-03-31,$48
2015-12-31,$33
2015-09-30,$-8
2015-06-30,$48
2015-03-31,$32
2014-12-31,$36
2014-09-30,$39
2014-06-30,$13
2014-03-31,$-1
2013-12-31,$-9
2013-09-30,$3
2013-06-30,$-1
2013-03-31,$-7
2012-12-31,$-7
2012-09-30,$169
2012-06-30,$-3
2012-03-31,$-2
2011-12-31,$8
2011-09-30,$-37
2011-06-30,$-51
2011-03-31,$-24
2010-12-31,$5
2010-09-30,$0
2010-06-30,$-30
2010-03-31,$-33
2009-12-31,$-52
2009-09-30,$-28
2009-06-30,$-90
2009-03-31,$-72
