KB Home Quarterly Net Income (Millions of US $),KB Home Quarterly Net Income (Millions of US $).1
2024-08-31,$157
2024-05-31,$167
2024-02-29,$138
2023-11-30,$149
2023-08-31,$149
2023-05-31,$163
2023-02-28,$125
2022-11-30,$213
2022-08-31,$254
2022-05-31,$211
2022-02-28,$134
2021-11-30,$173
2021-08-31,$149
2021-05-31,$143
2021-02-28,$97
2020-11-30,$106
2020-08-31,$78
2020-05-31,$52
2020-02-29,$59
2019-11-30,$122
2019-08-31,$68
2019-05-31,$47
2019-02-28,$30
2018-11-30,$96
2018-08-31,$87
2018-05-31,$57
2018-02-28,$-71
2017-11-30,$84
2017-08-31,$50
2017-05-31,$32
2017-02-28,$14
2016-11-30,$37
2016-08-31,$39
2016-05-31,$16
2016-02-29,$13
2015-11-30,$44
2015-08-31,$23
2015-05-31,$10
2015-02-28,$8
2014-11-30,$850
2014-08-31,$28
2014-05-31,$27
2014-02-28,$11
2013-11-30,$28
2013-08-31,$27
2013-05-31,$-3
2013-02-28,$-12
2012-11-30,$8
2012-08-31,$3
2012-05-31,$-24
2012-02-29,$-46
2011-11-30,$14
2011-08-31,$-10
2011-05-31,$-69
2011-02-28,$-115
2010-11-30,$17
2010-08-31,$-1
2010-05-31,$-31
2010-02-28,$-55
2009-11-30,$101
2009-08-31,$-66
2009-05-31,$-78
2009-02-28,$-58
