Clorox Quarterly Net Income (Millions of US $),Clorox Quarterly Net Income (Millions of US $).1
2024-06-30,$216
2024-03-31,$-51
2023-12-31,$93
2023-09-30,$22
2023-06-30,$176
2023-03-31,$-211
2022-12-31,$99
2022-09-30,$85
2022-06-30,$101
2022-03-31,$150
2021-12-31,$69
2021-09-30,$142
2021-06-30,$97
2021-03-31,$-61
2020-12-31,$259
2020-09-30,$415
2020-06-30,$310
2020-03-31,$241
2019-12-31,$185
2019-09-30,$203
2019-06-30,$241
2019-03-31,$187
2018-12-31,$182
2018-09-30,$210
2018-06-30,$217
2018-03-31,$181
2017-12-31,$233
2017-09-30,$192
2017-06-30,$201
2017-03-31,$172
2016-12-31,$149
2016-09-30,$179
2016-06-30,$165
2016-03-31,$162
2015-12-31,$149
2015-09-30,$172
2015-06-30,$191
2015-03-31,$174
2014-12-31,$125
2014-09-30,$90
2014-06-30,$170
2014-03-31,$137
2013-12-31,$115
2013-09-30,$136
2013-06-30,$183
2013-03-31,$133
2012-12-31,$123
2012-09-30,$133
2012-06-30,$174
2012-03-31,$132
2011-12-31,$105
2011-09-30,$130
2011-06-30,$167
2011-03-31,$151
2010-12-31,$21
2010-09-30,$216
2010-06-30,$168
2010-03-31,$165
2009-12-31,$110
2009-09-30,$157
2009-06-30,$169
2009-03-31,$151
