Arvinas Quarterly Net Income (Millions of US $),Arvinas Quarterly Net Income (Millions of US $).1
2024-06-30,$-35
2024-03-31,$-69
2023-12-31,$-155
2023-09-30,$-64
2023-06-30,$-67
2023-03-31,$-82
2022-12-31,$-83
2022-09-30,$-66
2022-06-30,$-70
2022-03-31,$-63
2021-12-31,$-53
2021-09-30,$-47
2021-06-30,$-50
2021-03-31,$-41
2020-12-31,$-42
2020-09-30,$-31
2020-06-30,$-25
2020-03-31,$-22
2019-12-31,$-21
2019-09-30,$-18
2019-06-30,$-17
2019-03-31,$-14
2018-12-31,$-16
2018-09-30,$-125
2018-06-30,$-23
2018-03-31,$-76
2017-12-31,
2017-09-30,$-6
2016-12-31,
