Costamare Quarterly Net Income (Millions of US $),Costamare Quarterly Net Income (Millions of US $).1
2024-06-30,$91
2024-03-31,$94
2023-12-31,$97
2023-09-30,$53
2023-06-30,$63
2023-03-31,$142
2022-12-31,$187
2022-09-30,$108
2022-06-30,$114
2022-03-31,$115
2021-12-31,$153
2021-09-30,$107
2021-06-30,$83
2021-03-31,$61
2020-12-31,$19
2020-09-30,$17
2020-06-30,$-84
2020-03-31,$26
2019-12-31,$28
2019-09-30,$28
2019-06-30,$21
2019-03-31,$-9
2018-12-31,$12
2018-09-30,$6
2018-06-30,$6
2018-03-31,$12
2017-12-31,$-3
2017-09-30,$19
2017-06-30,$18
2017-03-31,$18
2016-12-31,$-16
2016-09-30,$15
2016-06-30,$32
2016-03-31,$30
2015-12-31,$33
2015-09-30,$29
2015-06-30,$40
2015-03-31,$23
2014-12-31,$28
2014-09-30,$34
2014-06-30,$24
2014-03-31,$17
2013-12-31,$26
2013-09-30,$20
2013-06-30,$31
2013-03-31,$25
2012-12-31,$23
2012-09-30,$13
2012-06-30,$21
2012-03-31,$25
2011-12-31,$26
2011-09-30,$17
2011-06-30,$26
2011-03-31,$18
2010-12-31,$12
2010-09-30,$24
2010-06-30,$21
2010-03-31,$25
2009-12-31,
2009-09-30,$24
