Exelon Quarterly Net Income (Millions of US $),Exelon Quarterly Net Income (Millions of US $).1
2024-06-30,$448
2024-03-31,$658
2023-12-31,$616
2023-09-30,$700
2023-06-30,$343
2023-03-31,$669
2022-12-31,$432
2022-09-30,$676
2022-06-30,$465
2022-03-31,$597
2021-12-31,$391
2021-09-30,"$1,203"
2021-06-30,$401
2021-03-31,$-289
2020-12-31,$359
2020-09-30,$501
2020-06-30,$521
2020-03-31,$582
2019-12-31,$773
2019-09-30,$772
2019-06-30,$484
2019-03-31,$907
2018-12-31,$148
2018-09-30,$733
2018-06-30,$539
2018-03-31,$585
2017-12-31,"$1,871"
2017-09-30,$823
2017-06-30,$95
2017-03-31,$990
2016-12-31,$191
2016-09-30,$490
2016-06-30,$267
2016-03-31,$173
2015-12-31,$309
2015-09-30,$629
2015-06-30,$638
2015-03-31,$693
2014-12-31,$18
2014-09-30,$993
2014-06-30,$522
2014-03-31,$90
2013-12-31,$495
2013-09-30,$738
2013-06-30,$490
2013-03-31,$-4
2012-12-31,$378
2012-09-30,$296
2012-06-30,$286
2012-03-31,$200
2011-12-31,$606
2011-09-30,$601
2011-06-30,$620
2011-03-31,$668
2010-12-31,$524
2010-09-30,$845
2010-06-30,$445
2010-03-31,$749
2009-12-31,$581
2009-09-30,$757
2009-06-30,$657
2009-03-31,$712
