UBS Group AG Quarterly Net Income (Millions of US $),UBS Group AG Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,136"
2024-03-31,"$1,755"
2023-12-31,$274
2023-09-30,$-785
2023-06-30,"$27,331"
2023-03-31,"$1,029"
2022-12-31,"$1,653"
2022-09-30,"$1,733"
2022-06-30,"$2,108"
2022-03-31,"$2,136"
2021-12-31,"$1,348"
2021-09-30,"$2,279"
2021-06-30,"$2,006"
2021-03-31,"$1,824"
2020-12-31,"$1,637"
2020-09-30,"$2,093"
2020-06-30,"$1,232"
2020-03-31,"$1,595"
2019-12-31,$722
2019-09-30,"$1,049"
2019-06-30,"$1,392"
2019-03-31,"$1,141"
2018-12-31,"$1,566"
2018-09-30,"$1,253"
2018-06-30,"$1,382"
2018-03-31,$315
2017-12-31,"$-2,471"
2017-09-30,$983
2017-06-30,"$1,192"
2017-03-31,"$1,264"
2016-12-31,$628
2016-09-30,$848
2016-06-30,"$1,066"
2016-03-31,$712
2015-12-31,$957
2015-09-30,"$2,145"
2015-06-30,"$1,398"
2015-03-31,"$2,115"
2014-12-31,"$1,053"
2014-09-30,$790
2014-03-31,"$1,180"
