Evertec Quarterly Net Income (Millions of US $),Evertec Quarterly Net Income (Millions of US $).1
2024-06-30,$32
2024-03-31,$16
2023-12-31,$11
2023-09-30,$10
2023-06-30,$28
2023-03-31,$30
2022-12-31,$29
2022-09-30,$138
2022-06-30,$34
2022-03-31,$39
2021-12-31,$41
2021-09-30,$35
2021-06-30,$49
2021-03-31,$36
2020-12-31,$32
2020-09-30,$34
2020-06-30,$15
2020-03-31,$22
2019-12-31,$25
2019-09-30,$25
2019-06-30,$27
2019-03-31,$27
2018-12-31,$20
2018-09-30,$23
2018-06-30,$20
2018-03-31,$23
2017-12-31,$6
2017-09-30,$6
2017-06-30,$20
2017-03-31,$23
2016-12-31,$16
2016-09-30,$20
2016-06-30,$20
2016-03-31,$19
2015-12-31,$22
2015-09-30,$25
2015-06-30,$20
2015-03-31,$19
2014-12-31,$11
2014-09-30,$19
2014-06-30,$18
2014-03-31,$18
2013-12-31,$18
2013-09-30,$15
2013-06-30,$-65
2013-03-31,$5
2012-12-31,$74
2012-09-30,$2
2012-06-30,$-2
2012-03-31,$4
2011-12-31,
