MRC Global Quarterly Net Income (Millions of US $),MRC Global Quarterly Net Income (Millions of US $).1
2024-06-30,$24
2024-03-31,$13
2023-12-31,$15
2023-09-30,$29
2023-06-30,$18
2023-03-31,$28
2022-12-31,$15
2022-09-30,$18
2022-06-30,$8
2022-03-31,$10
2021-12-31,$-10
2021-09-30,$-17
2021-06-30,$-2
2021-03-31,$-9
2020-12-31,$-11
2020-09-30,$-3
2020-06-30,$-287
2020-03-31,$3
2019-12-31,$-30
2019-09-30,$15
2019-06-30,$18
2019-03-31,$12
2018-12-31,$4
2018-09-30,$18
2018-06-30,$16
2018-03-31,$12
2017-12-31,$29
2017-09-30,$-3
2017-06-30,
2017-03-31,
2016-12-31,$-24
2016-09-30,$-46
2016-06-30,$-23
2016-03-31,$-14
2015-12-31,$-398
2015-09-30,$10
2015-06-30,$15
2015-03-31,$29
2014-12-31,$31
2014-09-30,$50
2014-06-30,$39
2014-03-31,$24
2013-12-31,$23
2013-09-30,$39
2013-06-30,$44
2013-03-31,$46
2012-12-31,$-6
2012-09-30,$56
2012-06-30,$31
2012-03-31,$38
2011-12-31,$4
2011-09-30,$22
2011-06-30,$5
2011-03-31,$-1
2010-12-31,
2010-09-30,$-10
2010-06-30,$-16
2009-12-31,
