Macro Bank Quarterly Net Income (Millions of US $),Macro Bank Quarterly Net Income (Millions of US $).1
2024-06-30,$-257
2024-03-31,$331
2023-12-31,"$2,020"
2023-09-30,$25
2023-06-30,$146
2023-03-31,$42
2022-12-31,$157
2022-09-30,$66
2022-06-30,$35
2022-03-31,$57
2021-12-31,$91
2021-09-30,$76
2021-06-30,$49
2021-03-31,$25
2020-09-30,$83
2020-06-30,$95
2019-09-30,$267
2019-06-30,$160
2018-06-30,$135
2018-03-31,$181
2017-12-31,$175
2017-09-30,$151
2017-06-30,$129
2017-03-31,$113
2016-12-31,$108
2016-09-30,$109
2016-06-30,$127
2016-03-31,$98
2015-12-31,$-1
2015-09-30,$329
2015-06-30,$92
2015-03-31,$125
2014-12-31,$66
2014-09-30,$119
2014-06-30,$89
2014-03-31,$158
2013-12-31,$123
2013-09-30,$96
2013-06-30,$83
2013-03-31,$88
2012-12-31,$85
2012-09-30,$86
2012-06-30,$72
2012-03-31,$73
2011-12-31,$84
2011-09-30,$67
2011-06-30,$60
2011-03-31,$64
2010-12-31,$68
2010-09-30,$68
2010-06-30,$56
2010-03-31,$63
2009-12-31,$63
2009-09-30,$50
2009-06-30,$43
2009-03-31,$42
