MongoDB Quarterly Net Income (Millions of US $),MongoDB Quarterly Net Income (Millions of US $).1
2024-04-30,$-81
2024-01-31,$-55
2023-10-31,$-29
2023-07-31,$-38
2023-04-30,$-54
2023-01-31,$-64
2022-10-31,$-85
2022-07-31,$-119
2022-04-30,$-77
2022-01-31,$-84
2021-10-31,$-81
2021-07-31,$-77
2021-04-30,$-64
2021-01-31,$-76
2020-10-31,$-73
2020-07-31,$-65
2020-04-30,$-54
2020-01-31,$-63
2019-10-31,$-42
2019-07-31,$-37
2019-04-30,$-33
2019-01-31,$-22
2018-10-31,$-22
2018-07-31,$-28
2018-04-30,$-27
2018-01-31,$-14
2017-10-31,$-24
2017-07-31,$-26
2017-04-30,$-20
2017-01-31,
2016-10-31,$-20
2016-07-31,
2016-01-31,
