United Parks & Resorts Quarterly Net Income (Millions of US $),United Parks & Resorts Quarterly Net Income (Millions of US $).1
2024-06-30,$91
2024-03-31,$-11
2023-12-31,$40
2023-09-30,$124
2023-06-30,$87
2023-03-31,$-16
2022-12-31,$49
2022-09-30,$135
2022-06-30,$117
2022-03-31,$-9
2021-12-31,$72
2021-09-30,$102
2021-06-30,$128
2021-03-31,$-45
2020-12-31,$-46
2020-09-30,$-79
2020-06-30,$-131
2020-03-31,$-57
2019-12-31,$-24
2019-09-30,$98
2019-06-30,$53
2019-03-31,$-37
2018-12-31,$-11
2018-09-30,$96
2018-06-30,$23
2018-03-31,$-63
2017-12-31,$-20
2017-09-30,$55
2017-06-30,$-176
2017-03-31,$-61
2016-12-31,$-12
2016-09-30,$66
2016-06-30,$18
2016-03-31,$-84
2015-12-31,$-11
2015-09-30,$98
2015-06-30,$6
2015-03-31,$-44
2014-12-31,$-25
2014-09-30,$87
2014-06-30,$37
2014-03-31,$-49
2013-12-31,$-13
2013-09-30,$121
2013-06-30,$-16
2013-03-31,$-40
2012-12-31,$-9
2012-09-30,$92
2012-06-30,$39
2012-03-31,$-45
2011-12-31,
2010-12-31,
