Sitio Royalties Quarterly Net Income (Millions of US $),Sitio Royalties Quarterly Net Income (Millions of US $).1
2024-06-30,$13
2024-03-31,$8
2023-12-31,$-37
2023-09-30,$0
2023-06-30,$-1
2023-03-31,$22
2022-12-31,$1
2022-09-30,$9
2022-06-30,$6
2022-03-31,
2021-12-31,
2021-09-30,$14
2021-06-30,
2021-03-31,$-1
2020-12-31,
2020-09-30,$2
2020-06-30,$-0
2020-03-31,$8
2019-12-31,$21
2019-09-30,$3
2019-06-30,$4
2019-03-31,$5
2018-12-31,$34
2018-09-30,$13
2018-06-30,$17
2018-03-31,$54
2017-12-31,$68
2017-09-30,$8
2017-06-30,$0
2017-03-31,$-0
2016-12-31,
