Light & Wonder Quarterly Net Income (Millions of US $),Light & Wonder Quarterly Net Income (Millions of US $).1
2024-06-30,$82
2024-03-31,$82
2023-12-31,$67
2023-09-30,$75
2023-06-30,$-1
2023-03-31,$22
2022-12-31,$30
2022-09-30,$328
2022-06-30,"$3,291"
2022-03-31,$26
2021-12-31,$95
2021-09-30,$182
2021-06-30,$109
2021-03-31,$-15
2020-12-31,$-90
2020-09-30,$-117
2020-06-30,$-203
2020-03-31,$-159
2019-12-31,$-43
2019-09-30,$14
2019-06-30,$-77
2019-03-31,$-24
2018-12-31,$208
2018-09-30,$-352
2018-06-30,$-6
2018-03-31,$-202
2017-12-31,$-43
2017-09-30,$-59
2017-06-30,$-39
2017-03-31,$-101
2016-12-31,$-111
2016-09-30,$-99
2016-06-30,$-52
2016-03-31,$-92
2015-12-31,$-128
2015-09-30,"$-1,078"
2015-06-30,$-102
2015-03-31,$-86
2014-12-31,$-47
2014-09-30,$-70
2014-06-30,$-72
2014-03-31,$-45
2013-12-31,$-4
2013-09-30,$-1
2013-06-30,$-13
2013-03-31,$-13
2012-12-31,$-25
2012-09-30,$-27
2012-06-30,$-13
2012-03-31,$2
2011-12-31,$-9
2011-09-30,$-4
2011-06-30,$7
2011-03-31,$-7
2010-12-31,$-158
2010-09-30,$9
2010-06-30,$-4
2010-03-31,$5
2009-12-31,$-50
2009-09-30,$15
2009-06-30,$20
2009-03-31,$-25
