Credicorp Quarterly Net Income (Millions of US $),Credicorp Quarterly Net Income (Millions of US $).1
2024-06-30,$358
2024-03-31,$402
2023-12-31,$221
2023-09-30,$337
2023-06-30,$379
2023-03-31,$363
2022-09-30,$322
2022-06-30,$299
2021-12-31,$389
2021-09-30,$291
2021-06-30,$186
2021-03-31,$58
2020-12-31,$190
2020-09-30,$30
2020-06-30,$-182
2020-03-31,$62
2019-12-31,$286
2019-09-30,$328
2019-06-30,$332
2019-03-31,$332
2018-12-31,$281
2018-09-30,$308
2018-06-30,$301
2018-03-31,$321
2017-12-31,$315
2017-09-30,$380
2017-06-30,$285
2017-03-31,$274
2016-12-31,$254
2016-09-30,$289
2016-06-30,$263
2016-03-31,$234
2015-09-30,$255
2015-06-30,$242
2015-03-31,$267
2013-12-31,$152
2013-09-30,$179
2013-06-30,$54
2013-03-31,$182
2012-12-31,$200
2012-09-30,$228
2012-06-30,$172
2012-03-31,$189
2011-12-31,$189
2011-09-30,$171
2011-06-30,$174
2011-03-31,$175
2010-12-31,$129
2010-09-30,$156
2010-06-30,$162
2010-03-31,$124
2009-12-31,$122
2009-09-30,$122
2009-06-30,$115
2009-03-31,$111
