Reliance Quarterly Net Income (Millions of US $),Reliance Quarterly Net Income (Millions of US $).1
2024-06-30,$268
2024-03-31,$303
2023-12-31,$273
2023-09-30,$295
2023-06-30,$385
2023-03-31,$383
2022-12-31,$351
2022-09-30,$394
2022-06-30,$573
2022-03-31,$523
2021-12-31,$421
2021-09-30,$396
2021-06-30,$329
2021-03-31,$267
2020-12-31,$130
2020-09-30,$98
2020-06-30,$80
2020-03-31,$62
2019-12-31,$166
2019-09-30,$163
2019-06-30,$183
2019-03-31,$190
2018-12-31,$86
2018-09-30,$148
2018-06-30,$231
2018-03-31,$169
2017-12-31,$301
2017-09-30,$97
2017-06-30,$103
2017-03-31,$112
2016-12-31,$62
2016-09-30,$50
2016-06-30,$101
2016-03-31,$92
2015-12-31,$69
2015-09-30,$51
2015-06-30,$90
2015-03-31,$101
2014-12-31,$92
2014-09-30,$96
2014-06-30,$97
2014-03-31,$87
2013-12-31,$62
2013-09-30,$95
2013-06-30,$81
2013-03-31,$84
2012-12-31,$80
2012-09-30,$98
2012-06-30,$109
2012-03-31,$116
2011-12-31,$68
2011-09-30,$85
2011-06-30,$99
2011-03-31,$92
2010-12-31,$40
2010-09-30,$49
2010-06-30,$62
2010-03-31,$45
2009-12-31,$92
2009-09-30,$42
2009-06-30,$-6
2009-03-31,$20
