Despegar Quarterly Net Income (Millions of US $),Despegar Quarterly Net Income (Millions of US $).1
2024-06-30,$6
2024-03-31,$14
2023-12-31,$-26
2023-09-30,$-0
2023-06-30,$21
2023-03-31,$-1
2022-12-31,$-45
2022-09-30,$-9
2022-06-30,$-13
2022-03-31,$-31
2021-12-31,$-42
2021-09-30,$-24
2021-06-30,$-31
2021-03-31,$-37
2020-12-31,$-29
2020-09-30,$-42
2020-06-30,$-57
2020-03-31,$-15
2019-12-31,$-3
2019-09-30,$-4
2019-06-30,$-16
2019-03-31,$2
2018-12-31,$3
2018-09-30,$-1
2018-06-30,
2018-03-31,$16
2017-09-30,$11
2017-06-30,
2017-03-31,$15
2016-12-31,
2016-09-30,$14
2015-12-31,
