CyberArk Software Quarterly Net Income (Millions of US $),CyberArk Software Quarterly Net Income (Millions of US $).1
2024-06-30,$-13
2024-03-31,$5
2023-12-31,$9
2023-09-30,$-15
2023-06-30,$-26
2023-03-31,$-35
2022-12-31,$-22
2022-09-30,$-33
2022-06-30,$-38
2022-03-31,$-38
2021-12-31,$-17
2021-09-30,$-29
2021-06-30,$-23
2021-03-31,$-15
2020-12-31,$12
2020-09-30,$-16
2020-06-30,$-4
2020-03-31,$2
2019-12-31,$21
2019-09-30,$15
2019-06-30,$13
2019-03-31,$14
2018-12-31,$24
2018-09-30,$8
2018-06-30,$8
2018-03-31,$6
2017-12-31,$4
2017-09-30,$2
2017-06-30,$3
2017-03-31,$8
2016-12-31,$10
2016-09-30,$7
2016-06-30,$6
2016-03-31,$4
2015-12-31,$10
2015-09-30,$7
2015-06-30,$5
2015-03-31,$4
2014-12-31,
2014-09-30,$3
2014-03-31,$-1
2013-12-31,
2013-09-30,$3
