PDD Holdings Quarterly Net Income (Millions of US $),PDD Holdings Quarterly Net Income (Millions of US $).1
2024-03-31,"$3,878"
2023-12-31,"$3,338"
2023-09-30,"$2,130"
2023-06-30,"$1,808"
2023-03-31,"$1,180"
2022-12-31,"$1,346"
2022-09-30,"$1,489"
2022-06-30,"$1,328"
2022-03-31,$410
2021-12-31,"$1,034"
2021-09-30,$255
2021-06-30,$374
2021-03-31,$-443
2020-12-31,$-276
2020-09-30,$-116
2020-06-30,$-127
2020-03-31,$-582
2019-12-31,$-248
2019-09-30,$-327
2019-06-30,$-146
2019-03-31,$-280
2018-12-31,$-312
2018-09-30,$-160
2018-06-30,$-981
2018-03-31,$-45
2017-12-31,
