Central Puerto S.A Quarterly Net Income (Millions of US $),Central Puerto S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$7
2024-03-31,$28
2023-12-31,$527
2023-09-30,$15
2023-06-30,$20
2023-03-31,$1
2022-12-31,$48
2022-09-30,$33
2022-06-30,$20
2022-03-31,$45
2021-12-31,$4
2021-09-30,$28
2021-06-30,$-47
2021-03-31,$7
2020-12-31,$19
2020-09-30,$31
2020-06-30,$32
2020-03-31,$15
2019-12-31,$39
2019-09-30,$85
2019-06-30,$26
2019-03-31,$32
2018-12-31,$-105
2018-09-30,$173
2018-06-30,$171
2018-03-31,$383
2017-09-30,$47
2016-12-31,
