Cable One Quarterly Net Income (Millions of US $),Cable One Quarterly Net Income (Millions of US $).1
2024-06-30,$38
2024-03-31,$37
2023-12-31,$94
2023-09-30,$39
2023-06-30,$44
2023-03-31,$47
2022-12-31,$-98
2022-09-30,$71
2022-06-30,$69
2022-03-31,$171
2021-12-31,$65
2021-09-30,$52
2021-06-30,$106
2021-03-31,$69
2020-12-31,$106
2020-09-30,$66
2020-06-30,$63
2020-03-31,$69
2019-12-31,$54
2019-09-30,$50
2019-06-30,$36
2019-03-31,$39
2018-12-31,$42
2018-09-30,$38
2018-06-30,$44
2018-03-31,$41
2017-12-31,$144
2017-09-30,$31
2017-06-30,$28
2017-03-31,$32
2016-12-31,$26
2016-09-30,$21
2016-06-30,$27
2016-03-31,$27
2015-12-31,$29
2015-09-30,$19
2015-06-30,$21
2015-03-31,$22
2014-12-31,$27
2014-09-30,$69
2014-06-30,$27
2014-03-31,$24
2013-12-31,
2012-12-31,
