Trade Desk Quarterly Net Income (Millions of US $),Trade Desk Quarterly Net Income (Millions of US $).1
2024-06-30,$85
2024-03-31,$32
2023-12-31,$97
2023-09-30,$39
2023-06-30,$33
2023-03-31,$9
2022-12-31,$71
2022-09-30,$16
2022-06-30,$-19
2022-03-31,$-15
2021-12-31,$8
2021-09-30,$59
2021-06-30,$48
2021-03-31,$23
2020-12-31,$152
2020-09-30,$41
2020-06-30,$25
2020-03-31,$24
2019-12-31,$51
2019-09-30,$19
2019-06-30,$28
2019-03-31,$10
2018-12-31,$39
2018-09-30,$20
2018-06-30,$19
2018-03-31,$9
2017-12-31,$17
2017-09-30,$10
2017-06-30,$19
2017-03-31,$5
2016-12-31,$18
2016-09-30,$1
2016-06-30,$2
2016-03-31,$-48
2015-12-31,
2015-09-30,$1
2014-12-31,
