FTAI Aviation Quarterly Net Income (Millions of US $),FTAI Aviation Quarterly Net Income (Millions of US $).1
2024-06-30,$-228
2024-03-31,$31
2023-12-31,$110
2023-09-30,$33
2023-06-30,$46
2023-03-31,$23
2022-12-31,$20
2022-09-30,$-23
2022-06-30,$11
2022-03-31,$-229
2021-12-31,$-104
2021-09-30,$47
2021-06-30,$-37
2021-03-31,$-35
2020-12-31,$-61
2020-09-30,$-26
2020-06-30,$-16
2020-03-31,$-3
2019-12-31,$184
2019-09-30,$26
2019-06-30,$20
2019-03-31,$-6
2018-12-31,$1
2018-09-30,$5
2018-06-30,$1
2018-03-31,$-1
2017-12-31,$3
2017-09-30,$3
2017-06-30,$-1
2017-03-31,$-4
2016-12-31,$-2
2016-09-30,$-1
2016-06-30,$-11
2016-03-31,$-6
2015-12-31,$-5
2015-09-30,$-12
2015-06-30,$-1
2015-03-31,$5
2014-12-31,$4
2014-09-30,$4
2014-06-30,$-1
2014-03-31,$1
2013-12-31,
