Coeur Mining Quarterly Net Income (Millions of US $),Coeur Mining Quarterly Net Income (Millions of US $).1
2024-06-30,$1
2024-03-31,$-29
2023-12-31,$-26
2023-09-30,$-21
2023-06-30,$-32
2023-03-31,$-25
2022-12-31,$49
2022-09-30,$-57
2022-06-30,$-77
2022-03-31,$8
2021-12-31,$-11
2021-09-30,$-55
2021-06-30,$32
2021-03-31,$2
2020-12-31,$12
2020-09-30,$27
2020-06-30,$-1
2020-03-31,$-12
2019-12-31,$-271
2019-09-30,$-14
2019-06-30,$-37
2019-03-31,$-19
2018-12-31,$0
2018-09-30,$-53
2018-06-30,$3
2018-03-31,$1
2017-12-31,$8
2017-09-30,$-17
2017-06-30,$-11
2017-03-31,$19
2016-12-31,$-8
2016-09-30,$70
2016-06-30,$14
2016-03-31,$-20
2015-12-31,$-303
2015-09-30,$-14
2015-06-30,$-17
2015-03-31,$-33
2014-12-31,"$-1,110"
2014-09-30,$3
2014-06-30,$-43
2014-03-31,$-37
2013-12-31,$-582
2013-09-30,$-46
2013-06-30,$-35
2013-03-31,$12
2012-12-31,$38
2012-09-30,$-16
2012-06-30,$23
2012-03-31,$4
2011-12-31,$11
2011-09-30,$31
2011-06-30,$39
2011-03-31,$12
2010-12-31,$-5
2010-09-30,$-23
2010-06-30,$-51
2010-03-31,$-13
2009-12-31,$-27
2009-09-30,$-17
2009-06-30,$12
2009-03-31,$6
