Labcorp Quarterly Net Income (Millions of US $),Labcorp Quarterly Net Income (Millions of US $).1
2024-06-30,$205
2024-03-31,$228
2023-12-31,$-167
2023-09-30,$183
2023-06-30,$189
2023-03-31,$213
2022-12-31,$76
2022-09-30,$353
2022-06-30,$359
2022-03-31,$492
2021-12-31,$553
2021-09-30,$587
2021-06-30,$467
2021-03-31,$770
2020-12-31,$938
2020-09-30,$703
2020-06-30,$232
2020-03-31,$-317
2019-12-31,$227
2019-09-30,$221
2019-06-30,$190
2019-03-31,$186
2018-12-31,$158
2018-09-30,$319
2018-06-30,$234
2018-03-31,$173
2017-12-31,$688
2017-09-30,$172
2017-06-30,$185
2017-03-31,$183
2016-12-31,$164
2016-09-30,$180
2016-06-30,$204
2016-03-31,$164
2015-12-31,$110
2015-09-30,$155
2015-06-30,$170
2015-03-31,$3
2014-12-31,$120
2014-09-30,$137
2014-06-30,$141
2014-03-31,$113
2013-12-31,$126
2013-09-30,$148
2013-06-30,$152
2013-03-31,$147
2012-12-31,$120
2012-09-30,$148
2012-06-30,$153
2012-03-31,$162
2011-12-31,$135
2011-09-30,$134
2011-06-30,$123
2011-03-31,$127
2010-12-31,$132
2010-09-30,$140
2010-06-30,$154
2010-03-31,$133
2009-12-31,$143
2009-09-30,$131
2009-06-30,$136
2009-03-31,$133
