Fastly Quarterly Net Income (Millions of US $),Fastly Quarterly Net Income (Millions of US $).1
2024-06-30,$-44
2024-03-31,$-43
2023-12-31,$-23
2023-09-30,$-54
2023-06-30,$-11
2023-03-31,$-45
2022-12-31,$-47
2022-09-30,$-63
2022-06-30,$-16
2022-03-31,$-64
2021-12-31,$-58
2021-09-30,$-56
2021-06-30,$-58
2021-03-31,$-51
2020-12-31,$-46
2020-09-30,$-24
2020-06-30,$-14
2020-03-31,$-12
2019-12-31,$-14
2019-09-30,$-12
2019-06-30,$-16
2019-03-31,$-10
2018-12-31,
2018-09-30,$-8
2018-06-30,$-6
2017-12-31,
