Canadian National Railway Quarterly Net Income (Millions of US $),Canadian National Railway Quarterly Net Income (Millions of US $).1
2024-06-30,$814
2024-03-31,$818
2023-12-31,"$1,571"
2023-09-30,$826
2023-06-30,$868
2023-03-31,$902
2022-12-31,"$1,059"
2022-09-30,"$1,115"
2022-06-30,"$1,038"
2022-03-31,$725
2021-12-31,$954
2021-09-30,"$1,339"
2021-06-30,$842
2021-03-31,$769
2020-12-31,$772
2020-09-30,$739
2020-06-30,$393
2020-03-31,$754
2019-12-31,$662
2019-09-30,$905
2019-06-30,"$1,018"
2019-03-31,$591
2018-12-31,$870
2018-09-30,$868
2018-06-30,"$1,015"
2018-03-31,$586
2017-12-31,"$2,031"
2017-09-30,$764
2017-06-30,$767
2017-03-31,$668
2016-12-31,$761
2016-09-30,$745
2016-06-30,$666
2016-03-31,$577
2015-12-31,$705
2015-09-30,$763
2015-06-30,$720
2015-03-31,$575
2014-12-31,$738
2014-09-30,$760
2014-06-30,$789
2014-03-31,$565
2013-12-31,$569
2013-09-30,$705
2013-06-30,$691
2013-03-31,$541
2012-12-31,$606
2012-09-30,$664
2012-06-30,$620
2012-03-31,$777
2011-12-31,$587
2011-09-30,$659
2011-06-30,$569
2011-03-31,$637
2010-12-31,$500
2010-09-30,$569
2010-06-30,$513
2010-03-31,$511
2009-12-31,$548
2009-09-30,$447
2009-06-30,$350
2009-03-31,$344
