Enbridge Inc Quarterly Net Income (Millions of US $),Enbridge Inc Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,350"
2024-03-31,"$1,052"
2023-12-31,"$1,273"
2023-09-30,$397
2023-06-30,"$1,375"
2023-03-31,"$1,281"
2022-12-31,$-862
2022-09-30,$980
2022-06-30,$352
2022-03-31,"$1,522"
2021-12-31,"$1,463"
2021-09-30,$542
2021-06-30,"$1,135"
2021-03-31,"$1,501"
2020-12-31,"$1,361"
2020-09-30,$743
2020-06-30,"$1,188"
2020-03-31,"$-1,066"
2019-12-31,$571
2019-09-30,$719
2019-06-30,"$1,298"
2019-03-31,"$1,423"
2018-12-31,$827
2018-09-30,$-69
2018-06-30,$830
2018-03-31,$352
2017-12-31,$175
2017-09-30,$610
2017-06-30,$683
2017-03-31,$482
2016-12-31,$302
2016-09-30,$-79
2016-06-30,$234
2016-03-31,$884
2015-12-31,$339
2015-09-30,$-466
2015-06-30,$526
2015-03-31,$-257
2014-12-31,$128
2014-09-30,$-12
2014-06-30,$824
2014-03-31,$407
2013-12-31,$-196
2013-09-30,$450
2013-06-30,$83
2013-03-31,$287
2012-12-31,$181
2012-09-30,$221
2012-06-30,$34
2012-03-31,$280
2011-12-31,$342
2011-09-30,$5
2011-06-30,$269
2011-03-31,$411
2010-12-31,$332
2010-09-30,$156
2010-06-30,$136
2010-03-31,$338
2009-12-31,$285
2009-09-30,$284
2009-06-30,$365
2009-03-31,$477
