Grupo Aeroportuario Del Centro Norte S.A.B De C.V Quarterly Net Income (Millions of US $),Grupo Aeroportuario Del Centro Norte S.A.B De C.V Quarterly Net Income (Millions of US $).1
2024-06-30,$75
2024-03-31,$63
2023-12-31,$84
2023-09-30,$83
2023-06-30,$72
2023-03-31,$58
2022-12-31,$63
2022-09-30,$54
2022-06-30,$46
2022-03-31,$37
2021-12-31,$48
2021-09-30,$40
2021-06-30,$31
2021-03-31,$20
2020-12-31,$11
2020-09-30,$3
2020-06-30,$-8
2020-03-31,$49
2019-12-31,$43
2019-09-30,$44
2019-06-30,$44
2019-03-31,$39
2018-12-31,$38
2018-09-30,$38
2018-06-30,$36
2018-03-31,$32
2017-12-31,$28
2017-09-30,$33
2017-06-30,$27
2017-03-31,$21
2016-12-31,$18
2016-09-30,$28
2016-06-30,$25
2016-03-31,$21
2015-12-31,$25
2015-09-30,$19
2015-06-30,$18
2015-03-31,$17
2014-12-31,$19
2014-09-30,$20
2014-06-30,$17
2014-03-31,$20
2013-12-31,$35
2013-09-30,$18
2013-06-30,$17
2013-03-31,$19
2012-12-31,$20
2012-09-30,$17
2012-06-30,$12
2012-03-31,$14
2011-12-31,$18
2011-09-30,$10
2011-06-30,$11
2011-03-31,$17
2010-12-31,$30
2010-09-30,$9
2010-06-30,$7
2010-03-31,$9
2009-12-31,$13
2009-09-30,$10
2009-06-30,$4
2009-03-31,$11
