IDACORP Quarterly Net Income (Millions of US $),IDACORP Quarterly Net Income (Millions of US $).1
2024-06-30,$90
2024-03-31,$48
2023-12-31,$31
2023-09-30,$105
2023-06-30,$69
2023-03-31,$56
2022-12-31,$42
2022-09-30,$106
2022-06-30,$64
2022-03-31,$46
2021-12-31,$33
2021-09-30,$98
2021-06-30,$70
2021-03-31,$45
2020-12-31,$38
2020-09-30,$102
2020-06-30,$60
2020-03-31,$37
2019-12-31,$47
2019-09-30,$90
2019-06-30,$53
2019-03-31,$43
2018-12-31,$26
2018-09-30,$102
2018-06-30,$62
2018-03-31,$36
2017-12-31,$39
2017-09-30,$91
2017-06-30,$50
2017-03-31,$33
2016-12-31,$33
2016-09-30,$83
2016-06-30,$56
2016-03-31,$26
2015-12-31,$32
2015-09-30,$73
2015-06-30,$66
2015-03-31,$23
2014-12-31,$35
2014-09-30,$87
2014-06-30,$45
2014-03-31,$27
2013-12-31,$28
2013-09-30,$73
2013-06-30,$47
2013-03-31,$35
2012-12-31,$21
2012-09-30,$92
2012-06-30,$35
2012-03-31,$25
2011-12-31,$12
2011-09-30,$107
2011-06-30,$21
2011-03-31,$30
2010-12-31,$20
2010-09-30,$67
2010-06-30,$39
2010-03-31,$16
2009-12-31,$24
2009-09-30,$54
2009-06-30,$27
2009-03-31,$19
