Centerspace Quarterly Net Income (Millions of US $),Centerspace Quarterly Net Income (Millions of US $).1
2024-06-30,$-3
2024-03-31,$-6
2023-12-31,$-10
2023-09-30,$6
2023-06-30,$-3
2023-03-31,$42
2022-12-31,$-4
2022-09-30,$-2
2022-06-30,$-5
2022-03-31,$-10
2021-12-31,$-9
2021-09-30,$-11
2021-06-30,$20
2021-03-31,$-6
2020-12-31,$-6
2020-09-30,$18
2020-06-30,$-5
2020-03-31,$-8
2019-12-31,$47
2019-09-30,$30
2019-06-30,$1
2019-03-31,$-6
2018-12-31,
2018-10-31,$-6
2018-09-30,$1
2018-07-31,$1
2018-06-30,$-22
2018-04-30,
2018-03-31,$5
2018-01-31,$134
2017-10-31,$6
2017-07-31,$-14
2017-04-30,
2017-01-31,$19
2016-10-31,$9
2016-07-31,$-25
2016-04-30,
2016-01-31,$37
2015-10-31,$14
2015-07-31,$2
2015-04-30,
2015-01-31,$5
2014-10-31,$2
2014-07-31,$-3
2014-04-30,$-31
2014-01-31,$1
2013-10-31,$6
2013-07-31,$0
2013-04-30,
2013-01-31,$2
2012-10-31,$6
2012-07-31,$1
2012-04-30,
2012-01-31,$2
2011-10-31,$1
2011-07-31,$1
2011-04-30,
2011-01-31,$11
2010-10-31,$5
2010-07-31,$1
2010-04-30,
2010-01-31,$-0
2009-10-31,$-0
2009-07-31,$2
2009-04-30,
2009-01-31,$1
