Unifirst Quarterly Net Income (Millions of US $),Unifirst Quarterly Net Income (Millions of US $).1
2024-05-31,$38
2024-02-29,$20
2023-11-30,$42
2023-08-31,$28
2023-05-31,$24
2023-02-28,$18
2022-11-30,$34
2022-08-31,$26
2022-05-31,$25
2022-02-28,$18
2021-11-30,$34
2021-08-31,$35
2021-05-31,$42
2021-02-28,$33
2020-11-30,$42
2020-08-31,$32
2020-05-31,$21
2020-02-29,$35
2019-11-30,$48
2019-08-31,$46
2019-05-31,$47
2019-02-28,$48
2018-11-30,$38
2018-08-31,$35
2018-05-31,$36
2018-02-28,$58
2017-11-30,$34
2017-08-31,$-5
2017-05-31,$24
2017-02-28,$23
2016-11-30,$28
2016-08-31,$35
2016-05-31,$30
2016-02-29,$23
2015-11-30,$36
2015-08-31,$29
2015-05-31,$32
2015-02-28,$25
2014-11-30,$37
2014-08-31,$29
2014-05-31,$31
2014-02-28,$26
2013-11-30,$34
2013-08-31,$31
2013-05-31,$29
2013-02-28,$27
2012-11-30,$31
2012-08-31,$23
2012-05-31,$27
2012-02-29,$19
2011-11-30,$26
2011-08-31,$18
2011-05-31,$18
2011-02-28,$16
2010-11-30,$24
2010-08-31,$17
2010-05-31,$19
2010-02-28,$16
2009-11-30,$24
2009-08-31,$17
2009-05-31,$22
2009-02-28,$18
