John Bean Technologies Quarterly Net Income (Millions of US $),John Bean Technologies Quarterly Net Income (Millions of US $).1
2024-06-30,$31
2024-03-31,$23
2023-12-31,$55
2023-09-30,$468
2023-06-30,$33
2023-03-31,$27
2022-12-31,$44
2022-09-30,$34
2022-06-30,$33
2022-03-31,$26
2021-12-31,$32
2021-09-30,$29
2021-06-30,$31
2021-03-31,$27
2020-12-31,$30
2020-09-30,$17
2020-06-30,$33
2020-03-31,$29
2019-12-31,$42
2019-09-30,$34
2019-06-30,$34
2019-03-31,$20
2018-12-31,$43
2018-09-30,$26
2018-06-30,$34
2018-03-31,$1
2017-12-31,$19
2017-09-30,$26
2017-06-30,$18
2017-03-31,$17
2016-12-31,$23
2016-09-30,$21
2016-06-30,$19
2016-03-31,$5
2015-12-31,$21
2015-09-30,$13
2015-06-30,$14
2015-03-31,$8
2014-12-31,$15
2014-09-30,$9
2014-06-30,$11
2014-03-31,$-5
2013-12-31,$14
2013-09-30,$7
2013-06-30,$9
2013-03-31,$4
2012-12-31,$19
2012-09-30,$6
2012-06-30,$8
2012-03-31,$4
2011-12-31,$7
2011-09-30,$8
2011-06-30,$10
2011-03-31,$5
2010-12-31,$16
2010-09-30,$9
2010-06-30,$8
2010-03-31,$4
2009-12-31,$11
2009-09-30,$8
2009-06-30,$10
2009-03-31,$4
