E.l.f Beauty Quarterly Net Income (Millions of US $),E.l.f Beauty Quarterly Net Income (Millions of US $).1
2024-06-30,$48
2024-03-31,$15
2023-12-31,$27
2023-09-30,$33
2023-06-30,$53
2023-03-31,$16
2022-12-31,$19
2022-09-30,$12
2022-06-30,$14
2022-03-31,$2
2021-12-31,$6
2021-09-30,$6
2021-06-30,$8
2021-03-31,$-0
2020-12-31,$4
2020-09-30,$0
2020-06-30,$2
2020-03-31,$-0
2019-12-31,$8
2019-09-30,$7
2019-06-30,$4
2019-03-31,$-18
2018-12-31,
2018-09-30,$4
2018-06-30,$1
2018-03-31,$1
2017-12-31,
2017-09-30,$6
2017-06-30,$4
2017-03-31,$2
2016-12-31,
2016-09-30,$-374
2016-06-30,$-96
2016-03-31,$-34
2015-12-31,
2015-09-30,$-5
2014-12-31,
