Burlington Stores Quarterly Net Income (Millions of US $),Burlington Stores Quarterly Net Income (Millions of US $).1
2024-07-31,$74
2024-04-30,$79
2024-01-31,$227
2023-10-31,$49
2023-07-31,$31
2023-04-30,$33
2023-01-31,$185
2022-10-31,$17
2022-07-31,$12
2022-04-30,$16
2022-01-31,$122
2021-10-31,$14
2021-07-31,$103
2021-04-30,$171
2021-01-31,$156
2020-10-31,$8
2020-07-31,$-47
2020-04-30,$-334
2020-01-31,$206
2019-10-31,$96
2019-07-31,$85
2019-04-30,$78
2019-01-31,$184
2018-10-31,$77
2018-07-31,$71
2018-04-30,$83
2018-01-31,$241
2017-10-31,$45
2017-07-31,$47
2017-04-30,$52
2017-01-31,$126
2016-10-31,$32
2016-07-31,$20
2016-04-30,$38
2016-01-31,$99
2015-10-31,$15
2015-07-31,$11
2015-04-30,$26
2015-01-31,$95
2014-10-31,$-34
2014-07-31,$-6
2014-04-30,$12
2014-01-31,$64
2013-10-31,$-45
2013-07-31,$-67
2013-04-30,$-47
2013-01-31,
2012-10-31,$-44
2012-01-31,
2011-01-31,
