Nexa Resources S.A Quarterly Net Income (Millions of US $),Nexa Resources S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$-76
2024-03-31,$-24
2023-12-31,$-93
2023-09-30,$-74
2023-06-30,$-102
2023-03-31,$-20
2022-12-31,$-82
2022-09-30,$-41
2022-06-30,$109
2022-03-31,$63
2021-12-31,$1
2021-09-30,$-19
2021-06-30,$109
2021-03-31,$23
2020-12-31,$50
2020-09-30,$-30
2020-06-30,$-56
2020-03-31,$-524
2019-12-31,$-1
2019-09-30,$-150
2019-06-30,$20
2019-03-31,$-14
2018-12-31,$53
2018-09-30,$7
2018-06-30,$-40
2018-03-31,$55
2017-12-31,$12
2017-09-30,$70
2017-06-30,$-4
2017-03-31,$49
2016-12-31,
2016-09-30,$38
2016-06-30,$85
2015-12-31,
