HP Quarterly Net Income (Millions of US $),HP Quarterly Net Income (Millions of US $).1
2024-07-31,$640
2024-04-30,$607
2024-01-31,$622
2023-10-31,$974
2023-07-31,$766
2023-04-30,"$1,054"
2023-01-31,$469
2022-10-31,$-76
2022-07-31,"$1,122"
2022-04-30,"$1,000"
2022-01-31,"$1,086"
2021-10-31,"$3,137"
2021-07-31,"$1,108"
2021-04-30,"$1,228"
2021-01-31,"$1,068"
2020-10-31,$639
2020-07-31,$734
2020-04-30,$764
2020-01-31,$678
2019-10-31,$388
2019-07-31,"$1,179"
2019-04-30,$782
2019-01-31,$803
2018-10-31,"$1,451"
2018-07-31,$880
2018-04-30,"$1,058"
2018-01-31,"$1,938"
2017-10-31,$660
2017-07-31,$696
2017-04-30,$559
2017-01-31,$611
2016-10-31,$492
2016-07-31,$783
2016-04-30,$629
2016-01-31,$592
2015-10-31,"$1,323"
2015-07-31,$854
2015-04-30,"$1,011"
2015-01-31,"$1,366"
2014-10-31,"$1,330"
2014-07-31,$985
2014-04-30,"$1,273"
2014-01-31,"$1,425"
2013-10-31,"$1,414"
2013-07-31,"$1,390"
2013-04-30,"$1,077"
2013-01-31,"$1,232"
2012-10-31,"$-6,854"
2012-07-31,"$-8,857"
2012-04-30,"$1,593"
2012-01-31,"$1,468"
2011-10-31,$239
2011-07-31,"$1,926"
2011-04-30,"$2,304"
2011-01-31,"$2,605"
2010-10-31,"$2,538"
2010-07-31,"$1,773"
2010-04-30,"$2,200"
2010-01-31,"$2,250"
2009-10-31,"$2,412"
2009-07-31,"$1,671"
2009-04-30,"$1,721"
2009-01-31,"$1,856"
