CareTrust REIT Quarterly Net Income (Millions of US $),CareTrust REIT Quarterly Net Income (Millions of US $).1
2024-06-30,$11
2024-03-31,$29
2023-12-31,$26
2023-09-30,$9
2023-06-30,$-1
2023-03-31,$19
2022-12-31,$14
2022-09-30,$1
2022-06-30,$21
2022-03-31,$-43
2021-12-31,$18
2021-09-30,$12
2021-06-30,$21
2021-03-31,$20
2020-12-31,$21
2020-09-30,$21
2020-06-30,$19
2020-03-31,$19
2019-12-31,$20
2019-09-30,$-10
2019-06-30,$20
2019-03-31,$16
2018-12-31,$16
2018-09-30,$15
2018-06-30,$13
2018-03-31,$15
2017-12-31,$2
2017-09-30,$11
2017-06-30,$2
2017-03-31,$10
2016-12-31,$9
2016-09-30,$8
2016-06-30,$8
2016-03-31,$5
2015-12-31,$5
2015-09-30,$1
2015-06-30,$2
2015-03-31,$2
2014-12-31,$1
2014-09-30,$2
2014-06-30,$-10
2014-03-31,$-0
2013-12-31,
2013-09-30,$-0
2013-06-30,$1
2012-12-31,
2011-12-31,
