Laureate Education Quarterly Net Income (Millions of US $),Laureate Education Quarterly Net Income (Millions of US $).1
2024-06-30,$128
2024-03-31,$-11
2023-12-31,$42
2023-09-30,$36
2023-06-30,$56
2023-03-31,$-27
2022-12-31,$39
2022-09-30,$31
2022-06-30,$43
2022-03-31,$-44
2021-12-31,$26
2021-09-30,$360
2021-06-30,$-29
2021-03-31,$-165
2020-12-31,$379
2020-09-30,$-784
2020-06-30,$-308
2020-03-31,$100
2019-12-31,$60
2019-09-30,$-95
2019-06-30,$782
2019-03-31,$191
2018-12-31,$70
2018-09-30,$-94
2018-06-30,$294
2018-03-31,$111
2017-12-31,$89
2017-09-30,$-182
2017-06-30,$47
2017-03-31,$-162
2016-12-31,$41
2016-09-30,$88
2016-06-30,$347
2016-03-31,$-102
2015-12-31,
2014-12-31,
2013-12-31,
