Ryman Hospitality Properties Quarterly Net Income (Millions of US $),Ryman Hospitality Properties Quarterly Net Income (Millions of US $).1
2024-06-30,$101
2024-03-31,$43
2023-12-31,$142
2023-09-30,$41
2023-06-30,$67
2023-03-31,$61
2022-12-31,$58
2022-09-30,$45
2022-06-30,$50
2022-03-31,$-25
2021-12-31,$-6
2021-09-30,$-9
2021-06-30,$-58
2021-03-31,$-105
2020-12-31,$-80
2020-09-30,$-118
2020-06-30,$-173
2020-03-31,$-47
2019-12-31,$45
2019-09-30,$22
2019-06-30,$49
2019-03-31,$29
2018-12-31,$159
2018-09-30,$23
2018-06-30,$56
2018-03-31,$27
2017-12-31,$72
2017-09-30,$24
2017-06-30,$47
2017-03-31,$33
2016-12-31,$48
2016-09-30,$34
2016-06-30,$51
2016-03-31,$26
2015-12-31,$39
2015-09-30,$27
2015-06-30,$41
2015-03-31,$5
2014-12-31,$62
2014-09-30,$15
2014-06-30,$23
2014-03-31,$21
2013-12-31,$30
2013-09-30,$18
2013-06-30,$12
2013-03-31,$54
2012-12-31,$-15
2012-09-30,$-27
2012-06-30,$9
2012-03-31,$6
2011-12-31,$5
2011-09-30,$-2
2011-06-30,$9
2011-03-31,$-2
2010-12-31,$-33
2010-09-30,$-32
2010-06-30,$-23
2010-03-31,$-2
2009-12-31,$-1
2009-09-30,$-13
2009-06-30,$10
2009-03-31,$3
