Pilgrim's Pride Quarterly Net Income (Millions of US $),Pilgrim's Pride Quarterly Net Income (Millions of US $).1
2024-06-30,$326
2024-03-31,$174
2023-12-31,$135
2023-09-30,$121
2023-06-30,$60
2023-03-31,$5
2022-12-31,$-155
2022-09-30,$258
2022-06-30,$362
2022-03-31,$280
2021-12-31,$37
2021-09-30,$61
2021-06-30,$-167
2021-03-31,$100
2020-12-31,$0
2020-09-30,$33
2020-06-30,$-6
2020-03-31,$67
2019-12-31,$92
2019-09-30,$110
2019-06-30,$170
2019-03-31,$84
2018-12-31,$-7
2018-09-30,$29
2018-06-30,$107
2018-03-31,$119
2017-12-31,$134
2017-09-30,$233
2017-06-30,$234
2017-03-31,$94
2016-12-31,$71
2016-09-30,$99
2016-06-30,$153
2016-03-31,$118
2015-12-31,$63
2015-09-30,$137
2015-06-30,$241
2015-03-31,$204
2014-12-31,$167
2014-09-30,$256
2014-06-30,$190
2014-03-31,$98
2013-12-31,$143
2013-09-30,$161
2013-06-30,$191
2013-03-31,$55
2012-12-31,$23
2012-09-30,$43
2012-06-30,$69
2012-03-31,$39
2011-12-31,$-85
2011-09-30,$-163
2011-06-30,$-128
2011-03-31,$-121
2010-12-31,$42
2010-09-30,$58
2010-06-30,$33
2010-03-31,$-46
2009-12-31,$34
2009-09-30,$83
2009-06-30,$53
2009-03-31,$-59
