Uniti Group Quarterly Net Income (Millions of US $),Uniti Group Quarterly Net Income (Millions of US $).1
2024-06-30,$18
2024-03-31,$41
2023-12-31,$-8
2023-09-30,$-81
2023-06-30,$25
2023-03-31,$-19
2022-12-31,$41
2022-09-30,$-156
2022-06-30,$53
2022-03-31,$52
2021-12-31,$36
2021-09-30,$43
2021-06-30,$49
2021-03-31,$-5
2020-12-31,$-47
2020-09-30,$7
2020-06-30,$-588
2020-03-31,$-79
2019-12-31,$-11
2019-09-30,$-19
2019-06-30,$38
2019-03-31,$1
2018-12-31,$12
2018-09-30,$2
2018-06-30,$-6
2018-03-31,$-1
2017-12-31,$19
2017-09-30,$3
2017-06-30,$-18
2017-03-31,$-20
2016-12-31,$-1
2016-09-30,$-4
2016-06-30,$-3
2016-03-31,$8
2015-12-31,$4
2015-09-30,$9
2015-06-30,$8
2015-03-31,$3
2014-12-31,
2014-03-31,$3
