Tanger Quarterly Net Income (Millions of US $),Tanger Quarterly Net Income (Millions of US $).1
2024-06-30,$25
2024-03-31,$22
2023-12-31,$24
2023-09-30,$28
2023-06-30,$24
2023-03-31,$24
2022-12-31,$19
2022-09-30,$23
2022-06-30,$20
2022-03-31,$21
2021-12-31,$13
2021-09-30,$-11
2021-06-30,$2
2021-03-31,$4
2020-12-31,$1
2020-09-30,$13
2020-06-30,$-23
2020-03-31,$-27
2019-12-31,$-11
2019-09-30,$24
2019-06-30,$14
2019-03-31,$62
2018-12-31,$20
2018-09-30,$-22
2018-06-30,$23
2018-03-31,$23
2017-12-31,$31
2017-09-30,$-15
2017-06-30,$29
2017-03-31,$22
2016-12-31,$22
2016-09-30,$69
2016-06-30,$73
2016-03-31,$27
2015-12-31,$106
2015-09-30,$44
2015-06-30,$24
2015-03-31,$35
2014-12-31,$16
2014-09-30,$23
2014-06-30,$18
2014-03-31,$15
2013-12-31,$21
2013-09-30,$53
2013-06-30,$17
2013-03-31,$15
2012-12-31,$18
2012-09-30,$15
2012-06-30,$12
2012-03-31,$8
2011-12-31,$13
2011-09-30,$12
2011-06-30,$9
2011-03-31,$9
2010-12-31,$5
2010-09-30,$13
2010-06-30,$5
2010-03-31,$3
2009-12-31,$5
2009-09-30,$4
2009-06-30,$12
2009-03-31,$31
