Topgolf Callaway Brands Quarterly Net Income (Millions of US $),Topgolf Callaway Brands Quarterly Net Income (Millions of US $).1
2024-06-30,$62
2024-03-31,$7
2023-12-31,$-77
2023-09-30,$30
2023-06-30,$117
2023-03-31,$25
2022-12-31,$-73
2022-09-30,$39
2022-06-30,$105
2022-03-31,$87
2021-12-31,$-26
2021-09-30,$-16
2021-06-30,$92
2021-03-31,$273
2020-12-31,$-41
2020-09-30,$52
2020-06-30,$-168
2020-03-31,$29
2019-12-31,$-29
2019-09-30,$31
2019-06-30,$29
2019-03-31,$49
2018-12-31,$-28
2018-09-30,$10
2018-06-30,$61
2018-03-31,$63
2017-12-31,$-19
2017-09-30,$3
2017-06-30,$31
2017-03-31,$26
2016-12-31,$123
2016-09-30,$-6
2016-06-30,$34
2016-03-31,$38
2015-12-31,$-30
2015-09-30,$-4
2015-06-30,$13
2015-03-31,$36
2014-12-31,$-42
2014-09-30,$-1
2014-06-30,$3
2014-03-31,$55
2013-12-31,$-49
2013-09-30,$-23
2013-06-30,$9
2013-03-31,$41
2012-12-31,$-72
2012-09-30,$-89
2012-06-30,$0
2012-03-31,$29
2011-12-31,$-66
2011-09-30,$-65
2011-06-30,$-62
2011-03-31,$10
2010-12-31,$-35
2010-09-30,$-21
2010-06-30,$9
2010-03-31,$18
2009-12-31,$-18
2009-09-30,$-16
2009-06-30,$6
2009-03-31,$7
