Catalent Quarterly Net Income (Millions of US $),Catalent Quarterly Net Income (Millions of US $).1
2024-03-31,$-101
2023-12-31,$-206
2023-09-30,$-759
2023-06-30,$-110
2023-03-31,$-227
2022-12-31,$81
2022-09-30,
2022-06-30,$165
2022-03-31,$141
2021-12-31,$93
2021-09-30,$84
2021-06-30,$166
2021-03-31,$217
2020-12-31,$77
2020-09-30,$69
2020-06-30,$135
2020-03-31,$12
2019-12-31,$34
2019-09-30,$-8
2019-06-30,$66
2019-03-31,$32
2018-12-31,$49
2018-09-30,$-14
2018-06-30,$83
2018-03-31,$19
2017-12-31,$-22
2017-09-30,$4
2017-06-30,$62
2017-03-31,$26
2016-12-31,$17
2016-09-30,$5
2016-06-30,$58
2016-03-31,$11
2015-12-31,$31
2015-09-30,$12
2015-06-30,$154
2015-03-31,$32
2014-12-31,$47
2014-09-30,$-20
2014-06-30,$27
2014-03-31,$7
2013-12-31,$-19
2013-09-30,$2
2013-06-30,
2013-03-31,
2012-06-30,
2011-06-30,
