Helmerich & Payne Quarterly Net Income (Millions of US $),Helmerich & Payne Quarterly Net Income (Millions of US $).1
2024-06-30,$87
2024-03-31,$84
2023-12-31,$94
2023-09-30,$82
2023-06-30,$94
2023-03-31,$162
2022-12-31,$96
2022-09-30,$46
2022-06-30,$18
2022-03-31,$-5
2021-12-31,$-51
2021-09-30,$-79
2021-06-30,$-56
2021-03-31,$-121
2020-12-31,$-70
2020-09-30,$-59
2020-06-30,$-46
2020-03-31,$-421
2019-12-31,$31
2019-09-30,$41
2019-06-30,$-155
2019-03-31,$61
2018-12-31,$19
2018-09-30,$2
2018-06-30,$-8
2018-03-31,$-12
2017-12-31,$500
2017-09-30,$-23
2017-06-30,$-22
2017-03-31,$-49
2016-12-31,$-35
2016-09-30,$-73
2016-06-30,$-21
2016-03-31,$21
2015-12-31,$16
2015-09-30,$-26
2015-06-30,$91
2015-03-31,$154
2014-12-31,$202
2014-09-30,$167
2014-06-30,$192
2014-03-31,$175
2013-12-31,$173
2013-09-30,$160
2013-06-30,$266
2013-03-31,$151
2012-12-31,$160
2012-09-30,$158
2012-06-30,$150
2012-03-31,$129
2011-12-31,$144
2011-09-30,$121
2011-06-30,$110
2011-03-31,$99
2010-12-31,$104
2010-09-30,$83
2010-06-30,$-37
2010-03-31,$47
2009-12-31,$63
2009-09-30,$51
2009-06-30,$53
2009-03-31,$104
