BBVA Banco Frances S.A Quarterly Net Income (Millions of US $),BBVA Banco Frances S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$122
2024-03-31,$42
2023-12-31,$357
2023-09-30,$32
2023-06-30,$129
2023-03-31,$78
2022-12-31,$205
2022-09-30,$73
2022-06-30,$136
2022-03-31,$39
2021-12-31,$-47
2021-09-30,$35
2021-06-30,$77
2021-03-31,$34
2020-12-31,$17
2020-09-30,$39
2020-06-30,$37
2020-03-31,$50
2019-12-31,$-195
2019-09-30,$218
2019-06-30,$155
2019-03-31,$154
2018-12-31,$-320
2018-09-30,$96
2018-06-30,$92
2018-03-31,$79
2017-12-31,$84
2017-09-30,$66
2017-06-30,$-18
2017-03-31,$103
2016-12-31,$35
2016-09-30,$63
2016-06-30,$68
2016-03-31,$81
2015-12-31,$122
2015-09-30,$108
2015-06-30,$75
2015-03-31,$107
2014-12-31,$90
2014-09-30,$76
2014-06-30,$50
2014-03-31,$181
2013-12-31,$154
2013-09-30,$101
2013-06-30,$49
2013-03-31,$69
2012-12-31,$58
2012-09-30,$91
2012-06-30,$75
2012-03-31,$56
2011-12-31,$119
2011-09-30,$28
2011-06-30,$48
2011-03-31,$49
2010-12-31,$102
2010-09-30,$111
2010-06-30,$52
2010-03-31,$42
2009-12-31,$71
2009-09-30,$81
2009-06-30,$17
2009-03-31,$24
