LiveRamp Holdings Quarterly Net Income (Millions of US $),LiveRamp Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$-7
2024-03-31,$-5
2023-12-31,$14
2023-09-30,$5
2023-06-30,$-2
2023-03-31,$-31
2022-12-31,$-30
2022-09-30,$-30
2022-06-30,$-27
2022-03-31,$-29
2021-12-31,$-15
2021-09-30,$-6
2021-06-30,$17
2021-03-31,$-33
2020-12-31,$-12
2020-09-30,$-24
2020-06-30,$-22
2020-03-31,$-4
2019-12-31,$-38
2019-09-30,$-40
2019-06-30,$-42
2019-03-31,$-45
2018-12-31,"$1,056"
2018-09-30,$21
2018-06-30,$-3
2018-03-31,$5
2017-12-31,$23
2017-09-30,$-3
2017-06-30,$-1
2017-03-31,$-8
2016-12-31,$1
2016-09-30,$7
2016-06-30,$4
2016-03-31,$-2
2015-12-31,$-1
2015-09-30,$11
2015-06-30,$-1
2015-03-31,$-6
2014-12-31,$4
2014-09-30,$-2
2014-06-30,$-8
2014-03-31,$-29
2013-12-31,$15
2013-09-30,$10
2013-06-30,$13
2013-03-31,$13
2012-12-31,$15
2012-09-30,$17
2012-06-30,$13
2012-03-31,$46
2011-12-31,$8
2011-09-30,$12
2011-06-30,$11
2011-03-31,$-67
2010-12-31,$21
2010-09-30,$13
2010-06-30,$10
2010-03-31,$17
2009-12-31,$14
2009-09-30,$9
2009-06-30,$4
2009-03-31,$22
