Waters Quarterly Net Income (Millions of US $),Waters Quarterly Net Income (Millions of US $).1
2024-06-30,$143
2024-03-31,$102
2023-12-31,$216
2023-09-30,$135
2023-06-30,$151
2023-03-31,$141
2022-12-31,$227
2022-09-30,$156
2022-06-30,$165
2022-03-31,$160
2021-12-31,$216
2021-09-30,$161
2021-06-30,$167
2021-03-31,$148
2020-12-31,$218
2020-09-30,$127
2020-06-30,$123
2020-03-31,$54
2019-12-31,$201
2019-09-30,$138
2019-06-30,$144
2019-03-31,$109
2018-12-31,$185
2018-09-30,$141
2018-06-30,$156
2018-03-31,$112
2017-12-31,$-353
2017-09-30,$136
2017-06-30,$132
2017-03-31,$106
2016-12-31,$174
2016-09-30,$125
2016-06-30,$128
2016-03-31,$94
2015-12-31,$151
2015-09-30,$116
2015-06-30,$106
2015-03-31,$96
2014-12-31,$151
2014-09-30,$113
2014-06-30,$97
2014-03-31,$70
2013-12-31,$142
2013-09-30,$98
2013-06-30,$89
2013-03-31,$121
2012-12-31,$176
2012-09-30,$99
2012-06-30,$98
2012-03-31,$89
2011-12-31,$137
2011-09-30,$101
2011-06-30,$100
2011-03-31,$94
2010-12-31,$127
2010-09-30,$95
2010-06-30,$85
2010-03-31,$76
2009-12-31,$104
2009-09-30,$76
2009-06-30,$70
2009-03-31,$73
