Arch Resources Quarterly Net Income (Millions of US $),Arch Resources Quarterly Net Income (Millions of US $).1
2024-06-30,$15
2024-03-31,$56
2023-12-31,$115
2023-09-30,$74
2023-06-30,$77
2023-03-31,$198
2022-12-31,$470
2022-09-30,$181
2022-06-30,$408
2022-03-31,$272
2021-12-31,$227
2021-09-30,$89
2021-06-30,$28
2021-03-31,$-6
2020-12-31,$-79
2020-09-30,$-191
2020-06-30,$-49
2020-03-31,$-25
2019-12-31,$-9
2019-09-30,$107
2019-06-30,$63
2019-03-31,$73
2018-12-31,$86
2018-09-30,$123
2018-06-30,$43
2018-03-31,$60
2017-12-31,$81
2017-09-30,$68
2017-06-30,$37
2017-03-31,$52
2016-12-31,"$1,710"
2016-09-30,$-51
2016-06-30,$-176
2016-03-31,$-207
2015-12-31,$-632
2015-09-30,"$-1,999"
2015-06-30,$-168
2015-03-31,$-113
2014-12-31,$-240
2014-09-30,$-97
2014-06-30,$-97
2014-03-31,$-124
2013-12-31,$-371
2013-09-30,$-128
2013-06-30,$-72
2013-03-31,$-70
2012-12-31,$-295
2012-09-30,$46
2012-06-30,$-435
2012-03-31,$1
2011-12-31,$71
2011-09-30,$9
2011-06-30,$6
2011-03-31,$56
2010-12-31,$48
2010-09-30,$47
2010-06-30,$66
2010-03-31,$-2
2009-12-31,$2
2009-09-30,$25
2009-06-30,$-15
2009-03-31,$31
