Pan American Silver Quarterly Net Income (Millions of US $),Pan American Silver Quarterly Net Income (Millions of US $).1
2024-06-30,$-22
2024-03-31,$-31
2023-12-31,$-66
2023-09-30,$-22
2023-06-30,$-32
2023-03-31,$16
2022-12-31,$-173
2022-09-30,$-72
2022-06-30,$-174
2022-03-31,$77
2021-12-31,$14
2021-09-30,$20
2021-06-30,$71
2021-03-31,$-8
2020-12-31,$169
2020-09-30,$66
2020-06-30,$20
2020-03-31,$-77
2019-12-31,$52
2019-09-30,$38
2019-06-30,$18
2019-03-31,$3
2018-12-31,$-64
2018-09-30,$-9
2018-06-30,$36
2018-03-31,$47
2017-12-31,$49
2017-09-30,$17
2017-06-30,$35
2017-03-31,$19
2016-12-31,$22
2016-09-30,$43
2016-06-30,$34
2016-03-31,$2
2015-12-31,$-133
2015-09-30,$-67
2015-06-30,$-7
2015-03-31,$-19
2014-12-31,$-527
2014-09-30,$-20
2014-06-30,$-6
2014-03-31,$7
2013-12-31,$-294
2013-09-30,$14
2013-06-30,$-187
2013-03-31,$20
2012-12-31,$-29
2012-09-30,$23
2012-06-30,$44
2012-03-31,$50
2011-12-31,$95
2011-09-30,$52
2011-06-30,$113
2011-03-31,$93
2010-12-31,$46
2010-09-30,$29
2010-06-30,$18
2010-03-31,$19
2009-12-31,$28
2009-09-30,$17
2009-06-30,$10
2009-03-31,$7
