Golar LNG Quarterly Net Income (Millions of US $),Golar LNG Quarterly Net Income (Millions of US $).1
2024-06-30,
2024-03-31,$55
2023-12-31,
2023-03-31,$-102
2022-06-30,$230
2022-03-31,$345
2021-12-31,$8
2021-09-30,$-91
2021-06-30,$471
2021-03-31,$25
2020-12-31,$8
2020-09-30,$-22
2020-06-30,$-156
2020-03-31,$-104
2019-12-31,$25
2019-09-30,$-82
2019-06-30,$-113
2019-03-31,$-42
2018-12-31,$-313
2018-09-30,$66
2018-06-30,$36
2018-03-31,$-21
2017-12-31,$4
2017-09-30,$-44
2017-06-30,$-74
2017-03-31,$-66
2016-12-31,$24
2016-09-30,$-24
2016-06-30,$-100
2016-03-31,$-87
2015-12-31,$-44
2015-09-30,$-146
2015-06-30,$-3
2015-03-31,$22
2014-12-31,$-45
2014-09-30,$8
2014-06-30,$-24
2014-03-31,$13
2013-12-31,$-22
2013-09-30,$-13
2013-06-30,$59
2013-03-31,$86
2012-12-31,$876
2012-09-30,$45
2012-06-30,$35
2012-03-31,$15
2011-12-31,$17
2011-09-30,$14
2011-06-30,$-1
2011-03-31,$16
2010-12-31,$5
2010-09-30,$4
2010-06-30,$-6
2010-03-31,$-3
2009-12-31,$17
2009-09-30,$-1
2009-06-30,$12
2009-03-31,$-5
