Kirby Quarterly Net Income (Millions of US $),Kirby Quarterly Net Income (Millions of US $).1
2024-06-30,$84
2024-03-31,$70
2023-12-31,$62
2023-09-30,$63
2023-06-30,$57
2023-03-31,$41
2022-12-31,$37
2022-09-30,$39
2022-06-30,$28
2022-03-31,$17
2021-12-31,$11
2021-09-30,$-265
2021-06-30,$10
2021-03-31,$-3
2020-12-31,$22
2020-09-30,$27
2020-06-30,$25
2020-03-31,$-347
2019-12-31,$3
2019-09-30,$48
2019-06-30,$47
2019-03-31,$44
2018-12-31,$-25
2018-09-30,$42
2018-06-30,$28
2018-03-31,$32
2017-12-31,$230
2017-09-30,$28
2017-06-30,$26
2017-03-31,$27
2016-12-31,$32
2016-09-30,$32
2016-06-30,$39
2016-03-31,$38
2015-12-31,$51
2015-09-30,$57
2015-06-30,$58
2015-03-31,$61
2014-12-31,$66
2014-09-30,$77
2014-06-30,$75
2014-03-31,$62
2013-12-31,$64
2013-09-30,$69
2013-06-30,$63
2013-03-31,$56
2012-12-31,$57
2012-09-30,$53
2012-06-30,$47
2012-03-31,$51
2011-12-31,$56
2011-09-30,$52
2011-06-30,$41
2011-03-31,$32
2010-12-31,$30
2010-09-30,$31
2010-06-30,$29
2010-03-31,$25
2009-12-31,$28
2009-09-30,$35
2009-06-30,$34
2009-03-31,$28
