Brookfield Quarterly Net Income (Millions of US $),Brookfield Quarterly Net Income (Millions of US $).1
2024-06-30,$1
2024-03-31,$60
2023-12-31,$656
2023-09-30,$189
2023-06-30,$40
2023-03-31,$79
2022-12-31,$-392
2022-09-30,$386
2022-06-30,$590
2022-03-31,"$1,322"
2021-12-31,"$1,033"
2021-09-30,$760
2021-06-30,$764
2021-03-31,"$1,235"
2020-12-31,$655
2020-09-30,$147
2020-06-30,$-643
2020-03-31,$-293
2019-12-31,$725
2019-09-30,$892
2019-06-30,$399
2019-03-31,$565
2018-12-31,"$1,980"
2018-09-30,$105
2018-06-30,$680
2018-03-31,$819
2017-12-31,$972
2017-09-30,$228
2017-06-30,$190
2017-03-31,$-73
2016-12-31,$106
2016-09-30,"$1,003"
2016-06-30,$185
2016-03-31,$224
2015-12-31,$678
2015-09-30,$257
2015-06-30,$611
2015-03-31,$695
2014-12-31,"$1,050"
2014-09-30,$734
2014-06-30,$785
2014-03-31,$541
2013-12-31,$717
2013-09-30,$813
2013-06-30,$230
2013-03-31,$360
2012-12-31,$492
2012-09-30,$334
2012-06-30,$138
2012-03-31,$416
2011-12-31,$588
2011-09-30,$253
2011-06-30,$838
2011-03-31,$278
2010-12-31,"$1,089"
2010-09-30,$112
2010-06-30,$89
2010-03-31,$409
2009-12-31,$102
2009-09-30,$112
2009-06-30,$147
2009-03-31,$93
