Dropbox Quarterly Net Income (Millions of US $),Dropbox Quarterly Net Income (Millions of US $).1
2024-06-30,$111
2024-03-31,$132
2023-12-31,$227
2023-09-30,$114
2023-06-30,$43
2023-03-31,$69
2022-12-31,$328
2022-09-30,$83
2022-06-30,$62
2022-03-31,$80
2021-12-31,$125
2021-09-30,$76
2021-06-30,$88
2021-03-31,$48
2020-12-31,$-346
2020-09-30,$33
2020-06-30,$18
2020-03-31,$39
2019-12-31,$-7
2019-09-30,$-17
2019-06-30,$-21
2019-03-31,$-8
2018-12-31,$-10
2018-09-30,$-6
2018-06-30,$-4
2018-03-31,$-466
2017-12-31,$-38
2017-09-30,$-14
2017-06-30,$-27
2017-03-31,$-33
2016-12-31,
2015-12-31,
