TotalEnergies SE Quarterly Net Income (Millions of US $),TotalEnergies SE Quarterly Net Income (Millions of US $).1
2024-06-30,"$3,787"
2024-03-31,"$5,721"
2023-12-31,"$5,063"
2023-09-30,"$6,676"
2023-06-30,"$4,088"
2023-03-31,"$5,557"
2022-12-31,"$4,944"
2022-09-30,"$6,626"
2022-06-30,"$5,692"
2022-03-31,"$3,264"
2021-12-31,"$5,837"
2021-09-30,"$4,645"
2021-06-30,"$2,206"
2021-03-31,"$3,344"
2020-12-31,$891
2020-09-30,$202
2020-06-30,"$-8,369"
2020-03-31,$34
2019-12-31,"$2,600"
2019-09-30,"$2,800"
2019-06-30,"$2,756"
2019-03-31,"$3,111"
2018-12-31,"$1,132"
2018-09-30,"$3,957"
2018-06-30,"$3,721"
2018-03-31,"$2,636"
2017-12-31,"$1,021"
2017-09-30,"$2,724"
2017-06-30,"$2,037"
2017-03-31,"$2,849"
2016-12-31,$548
2016-09-30,"$1,954"
2016-06-30,"$2,088"
2016-03-31,"$1,606"
2015-12-31,"$-1,626"
2015-09-30,"$1,079"
2015-06-30,"$2,971"
2015-03-31,"$2,663"
2014-12-31,"$-5,658"
2014-09-30,"$3,463"
2014-06-30,"$3,104"
2014-03-31,"$3,335"
2013-12-31,"$2,234"
2013-09-30,"$3,682"
2013-06-30,"$3,364"
2013-03-31,"$1,948"
2012-12-31,"$2,973"
2012-09-30,"$3,837"
2012-06-30,"$2,037"
2012-03-31,"$4,801"
2011-12-31,"$3,043"
2011-09-30,"$4,652"
2011-06-30,"$3,887"
2011-03-31,"$5,849"
2010-12-31,"$2,773"
2010-09-30,"$3,650"
2010-06-30,"$4,138"
2010-03-31,"$3,614"
2009-12-31,"$3,050"
2009-09-30,"$2,909"
2009-06-30,"$2,957"
2009-03-31,"$3,064"
