Geo Group Inc Quarterly Net Income (Millions of US $),Geo Group Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$-33
2024-03-31,$23
2023-12-31,$25
2023-09-30,$25
2023-06-30,$30
2023-03-31,$28
2022-12-31,$42
2022-09-30,$38
2022-06-30,$54
2022-03-31,$38
2021-12-31,$-50
2021-09-30,$35
2021-06-30,$42
2021-03-31,$51
2020-12-31,$12
2020-09-30,$39
2020-06-30,$37
2020-03-31,$25
2019-12-31,$38
2019-09-30,$46
2019-06-30,$42
2019-03-31,$41
2018-12-31,$33
2018-09-30,$39
2018-06-30,$37
2018-03-31,$35
2017-12-31,$36
2017-09-30,$38
2017-06-30,$31
2017-03-31,$40
2016-12-31,$49
2016-09-30,$44
2016-06-30,$23
2016-03-31,$32
2015-12-31,$44
2015-09-30,$38
2015-06-30,$28
2015-03-31,$29
2014-12-31,$38
2014-09-30,$39
2014-06-30,$39
2014-03-31,$28
2013-12-31,$28
2013-09-30,$30
2013-06-30,$34
2013-03-31,$23
2012-12-31,$82
2012-09-30,$16
2012-06-30,$23
2012-03-31,$15
2011-12-31,$19
2011-09-30,$22
2011-06-30,$22
2011-03-31,$17
2010-12-31,$23
2010-09-30,$5
2010-06-30,$17
2010-03-31,$18
2009-12-31,$15
2009-09-30,$19
2009-06-30,$17
2009-03-31,$15
